Close,Date,High,Low,Open,Volume
93.0695,2009-09-01 00:00:00,93.124,92.85600000000001,92.8965,1676
93.1535,2009-09-01 01:00:00,93.212,93.056,93.0715,1324
93.0935,2009-09-01 02:00:00,93.178,93.03200000000001,93.1555,860
93.1445,2009-09-01 03:00:00,93.17200000000001,93.068,93.0885,587
93.0465,2009-09-01 04:00:00,93.17200000000001,93.008,93.1425,830
93.0575,2009-09-01 05:00:00,93.134,93.02799999999999,93.0445,905
93.2565,2009-09-01 06:00:00,93.266,93.02,93.0555,1405
93.2665,2009-09-01 07:00:00,93.38,93.19200000000001,93.2595,1685
93.1685,2009-09-01 08:00:00,93.30799999999999,93.084,93.2645,1507
93.0875,2009-09-01 09:00:00,93.184,93.068,93.1665,1020
93.1825,2009-09-01 10:00:00,93.184,93.068,93.0905,975
93.1165,2009-09-01 11:00:00,93.196,93.102,93.1845,1018
92.9975,2009-09-01 12:00:00,93.17,92.95,93.1135,1216
93.083,2009-09-01 13:00:00,93.194,92.926,92.9945,1661
93.1125,2009-09-01 14:00:00,93.446,93.085,93.085,2962
93.1015,2009-09-01 15:00:00,93.16799999999999,92.93799999999999,93.1095,2937
93.0875,2009-09-01 16:00:00,93.15,93.05,93.0995,1350
93.0605,2009-09-01 17:00:00,93.13799999999999,92.97200000000001,93.0895,1572
92.9405,2009-09-01 18:00:00,93.072,92.92,93.0625,1143
92.8695,2009-09-01 19:00:00,92.986,92.816,92.9425,1110
92.92200000000001,2009-09-01 20:00:00,92.975,92.84200000000001,92.8715,873
92.941,2009-09-01 21:00:00,92.945,92.825,92.925,682
92.796,2009-09-01 22:00:00,92.99,92.77799999999999,92.93799999999999,751
92.711,2009-09-01 23:00:00,92.825,92.52,92.794,1729
92.831,2009-09-02 00:00:00,92.833,92.65299999999999,92.711,1442
92.916,2009-09-02 01:00:00,93.01299999999999,92.77600000000001,92.829,1902
92.889,2009-09-02 02:00:00,92.929,92.836,92.919,774
92.7665,2009-09-02 03:00:00,92.90899999999999,92.766,92.887,641
92.8565,2009-09-02 04:00:00,92.904,92.762,92.7695,579
92.8755,2009-09-02 05:00:00,92.912,92.818,92.8545,893
92.955,2009-09-02 06:00:00,93.06200000000001,92.848,92.8735,1655
92.648,2009-09-02 07:00:00,92.99600000000001,92.62,92.95299999999999,1962
92.694,2009-09-02 08:00:00,92.771,92.381,92.65,2708
92.62799999999999,2009-09-02 09:00:00,92.723,92.57600000000001,92.696,1530
92.721,2009-09-02 10:00:00,92.745,92.626,92.626,881
92.555,2009-09-02 11:00:00,92.743,92.48899999999999,92.71799999999999,1321
92.39299999999999,2009-09-02 12:00:00,92.652,92.245,92.553,3246
92.535,2009-09-02 13:00:00,92.62700000000001,92.309,92.39,2749
92.485,2009-09-02 14:00:00,92.62,92.399,92.53200000000001,2696
92.4375,2009-09-02 15:00:00,92.507,92.325,92.48700000000001,1658
92.1325,2009-09-02 16:00:00,92.44,92.12799999999999,92.4395,1376
92.279,2009-09-02 17:00:00,92.279,92.126,92.1355,876
92.164,2009-09-02 18:00:00,92.348,92.14200000000001,92.277,1105
92.145,2009-09-02 19:00:00,92.204,92.10700000000001,92.162,831
92.21,2009-09-02 20:00:00,92.215,92.131,92.148,413
92.243,2009-09-02 21:00:00,92.274,92.208,92.22,395
92.13,2009-09-02 22:00:00,92.28,92.088,92.241,512
92.2345,2009-09-02 23:00:00,92.28399999999999,92.117,92.12700000000001,802
92.1315,2009-09-03 00:00:00,92.27799999999999,91.948,92.2325,2093
92.2025,2009-09-03 01:00:00,92.242,92.094,92.1335,1296
92.2365,2009-09-03 02:00:00,92.28399999999999,92.156,92.2015,701
92.3045,2009-09-03 03:00:00,92.374,92.228,92.2335,919
92.2655,2009-09-03 04:00:00,92.33,92.21600000000001,92.3025,658
92.3755,2009-09-03 05:00:00,92.40799999999999,92.21799999999999,92.2625,977
92.355,2009-09-03 06:00:00,92.464,92.30799999999999,92.3775,1267
92.42399999999999,2009-09-03 07:00:00,92.51299999999999,92.26700000000001,92.35799999999999,2077
92.385,2009-09-03 08:00:00,92.43299999999999,92.27600000000001,92.427,1391
92.441,2009-09-03 09:00:00,92.57600000000001,92.369,92.383,1263
92.475,2009-09-03 10:00:00,92.499,92.348,92.439,799
92.443,2009-09-03 11:00:00,92.531,92.354,92.477,1055
92.477,2009-09-03 12:00:00,92.53399999999999,92.34,92.446,2019
92.564,2009-09-03 13:00:00,92.618,92.445,92.479,1883
92.521,2009-09-03 14:00:00,92.682,92.47399999999999,92.566,2405
92.546,2009-09-03 15:00:00,92.584,92.51899999999999,92.51899999999999,867
92.544,2009-09-03 16:00:00,92.564,92.46799999999999,92.54299999999999,451
92.569,2009-09-03 17:00:00,92.57600000000001,92.47,92.546,506
92.545,2009-09-03 18:00:00,92.63600000000001,92.541,92.56700000000001,487
92.721,2009-09-03 19:00:00,92.78,92.538,92.54700000000001,765
92.637,2009-09-03 20:00:00,92.71799999999999,92.59299999999999,92.71799999999999,575
92.60799999999999,2009-09-03 21:00:00,92.652,92.589,92.634,283
92.758,2009-09-03 22:00:00,92.771,92.544,92.61,519
92.7025,2009-09-03 23:00:00,92.755,92.67200000000001,92.755,559
92.6995,2009-09-04 00:00:00,92.70200000000001,92.59,92.7005,820
92.6685,2009-09-04 01:00:00,92.72,92.512,92.6975,1070
92.5775,2009-09-04 02:00:00,92.67200000000001,92.55,92.6655,621
92.6025,2009-09-04 03:00:00,92.65,92.53200000000001,92.5795,615
92.5845,2009-09-04 04:00:00,92.68799999999999,92.57,92.6005,608
92.6085,2009-09-04 05:00:00,92.634,92.568,92.5825,524
92.6185,2009-09-04 06:00:00,92.654,92.588,92.6065,738
92.8665,2009-09-04 07:00:00,92.87,92.6,92.6205,1277
92.7975,2009-09-04 08:00:00,92.868,92.73,92.8635,911
92.8415,2009-09-04 09:00:00,92.89399999999999,92.774,92.8005,771
92.7965,2009-09-04 10:00:00,92.85799999999999,92.77799999999999,92.8395,612
92.8595,2009-09-04 11:00:00,92.9,92.77600000000001,92.7935,871
92.96600000000001,2009-09-04 12:00:00,93.244,92.27799999999999,92.8615,5438
92.85700000000001,2009-09-04 13:00:00,92.98899999999999,92.785,92.964,2968
92.934,2009-09-04 14:00:00,92.939,92.82799999999999,92.854,1353
92.756,2009-09-04 15:00:00,92.944,92.75399999999999,92.936,721
92.956,2009-09-04 16:00:00,92.958,92.684,92.759,1401
92.999,2009-09-04 17:00:00,93.068,92.95100000000001,92.958,822
93.01799999999999,2009-09-04 18:00:00,93.036,92.979,93.001,447
93.01299999999999,2009-09-04 19:00:00,93.042,92.985,93.016,409
93.007,2009-09-04 20:00:00,93.056,92.912,93.009,797
92.6995,2009-09-04 00:00:00,92.70200000000001,92.59,92.7005,820
92.6685,2009-09-04 01:00:00,92.72,92.512,92.6975,1070
92.5775,2009-09-04 02:00:00,92.67200000000001,92.55,92.6655,621
92.6025,2009-09-04 03:00:00,92.65,92.53200000000001,92.5795,615
92.5845,2009-09-04 04:00:00,92.68799999999999,92.57,92.6005,608
92.6085,2009-09-04 05:00:00,92.634,92.568,92.5825,524
92.6185,2009-09-04 06:00:00,92.654,92.588,92.6065,738
92.8665,2009-09-04 07:00:00,92.87,92.6,92.6205,1277
92.7975,2009-09-04 08:00:00,92.868,92.73,92.8635,911
92.8415,2009-09-04 09:00:00,92.89399999999999,92.774,92.8005,771
92.7965,2009-09-04 10:00:00,92.85799999999999,92.77799999999999,92.8395,612
92.8595,2009-09-04 11:00:00,92.9,92.77600000000001,92.7935,871
92.96600000000001,2009-09-04 12:00:00,93.244,92.27799999999999,92.8615,5438
92.85700000000001,2009-09-04 13:00:00,92.98899999999999,92.785,92.964,2968
92.934,2009-09-04 14:00:00,92.939,92.82799999999999,92.854,1353
92.756,2009-09-04 15:00:00,92.944,92.75399999999999,92.936,721
92.956,2009-09-04 16:00:00,92.958,92.684,92.759,1401
92.999,2009-09-04 17:00:00,93.068,92.95100000000001,92.958,822
93.01799999999999,2009-09-04 18:00:00,93.036,92.979,93.001,447
93.01299999999999,2009-09-04 19:00:00,93.042,92.985,93.016,409
93.007,2009-09-04 20:00:00,93.056,92.912,93.009,797
93.009,2009-09-06 19:00:00,93.009,93.009,93.009,1
92.973,2009-09-06 20:00:00,92.99799999999999,92.97,92.99799999999999,13
92.98,2009-09-06 21:00:00,93.05,92.91799999999999,92.975,318
93.109,2009-09-06 22:00:00,93.125,92.96,92.98299999999999,764
93.167,2009-09-06 23:00:00,93.182,93.111,93.111,465
93.09700000000001,2009-09-07 00:00:00,93.193,93.04,93.165,990
93.14,2009-09-07 01:00:00,93.178,92.936,93.095,1153
93.15799999999999,2009-09-07 02:00:00,93.194,93.10600000000001,93.14200000000001,519
93.132,2009-09-07 03:00:00,93.19200000000001,93.085,93.155,444
93.155,2009-09-07 04:00:00,93.18,93.12299999999999,93.135,355
93.17299999999999,2009-09-07 05:00:00,93.181,93.119,93.15299999999999,302
93.209,2009-09-07 06:00:00,93.295,93.10600000000001,93.176,1268
93.241,2009-09-07 07:00:00,93.243,93.125,93.211,1190
93.15899999999999,2009-09-07 08:00:00,93.27600000000001,93.15299999999999,93.238,1197
93.012,2009-09-07 09:00:00,93.18700000000001,92.984,93.161,1299
93.024,2009-09-07 10:00:00,93.052,92.995,93.014,465
93.01299999999999,2009-09-07 11:00:00,93.02799999999999,92.93299999999999,93.02600000000001,537
93.109,2009-09-07 12:00:00,93.115,92.98899999999999,93.01,463
92.99,2009-09-07 13:00:00,93.118,92.932,93.10600000000001,832
93.069,2009-09-07 14:00:00,93.071,92.96700000000001,92.992,446
92.98899999999999,2009-09-07 15:00:00,93.071,92.93,93.071,465
92.902,2009-09-07 16:00:00,93.01100000000001,92.814,92.991,1175
92.91799999999999,2009-09-07 17:00:00,92.93299999999999,92.853,92.9,258
92.964,2009-09-07 18:00:00,93.057,92.88600000000001,92.916,392
92.965,2009-09-07 19:00:00,93.02,92.959,92.962,226
93.07700000000001,2009-09-07 20:00:00,93.083,92.96799999999999,92.96799999999999,266
93.03299999999999,2009-09-07 21:00:00,93.09,92.994,93.074,449
92.995,2009-09-07 22:00:00,93.083,92.995,93.031,539
92.941,2009-09-07 23:00:00,93.023,92.919,92.99700000000001,371
92.9095,2009-09-08 00:00:00,92.99,92.848,92.943,1488
92.7565,2009-09-08 01:00:00,92.93799999999999,92.726,92.9115,1127
92.8105,2009-09-08 02:00:00,92.848,92.738,92.7525,797
92.8165,2009-09-08 03:00:00,92.834,92.76799999999999,92.8085,350
92.7635,2009-09-08 04:00:00,92.834,92.694,92.8185,651
92.8155,2009-09-08 05:00:00,92.844,92.69,92.7615,691
92.4895,2009-09-08 06:00:00,92.81200000000001,92.46799999999999,92.8125,2045
92.3805,2009-09-08 07:00:00,92.57600000000001,92.27799999999999,92.4915,2040
92.2825,2009-09-08 08:00:00,92.412,92.13799999999999,92.3825,2030
92.1175,2009-09-08 09:00:00,92.38600000000001,92.068,92.2855,1558
92.2415,2009-09-08 10:00:00,92.27,92.042,92.1195,1356
92.2395,2009-09-08 11:00:00,92.336,92.152,92.2435,1540
92.1055,2009-09-08 12:00:00,92.346,92.1,92.2425,1409
92.2225,2009-09-08 13:00:00,92.322,92.06,92.1025,1865
92.1565,2009-09-08 14:00:00,92.336,92.072,92.2255,1647
92.2135,2009-09-08 15:00:00,92.242,92.056,92.1595,1118
92.1695,2009-09-08 16:00:00,92.24,92.1,92.2115,552
92.1355,2009-09-08 17:00:00,92.24,92.07,92.1715,793
92.3145,2009-09-08 18:00:00,92.35,92.102,92.1325,838
92.2215,2009-09-08 19:00:00,92.32,92.186,92.3115,695
92.318,2009-09-08 20:00:00,92.368,92.21600000000001,92.2185,593
92.292,2009-09-08 21:00:00,92.365,92.28399999999999,92.32700000000001,593
92.266,2009-09-08 22:00:00,92.29799999999999,92.24700000000001,92.294,346
92.3245,2009-09-08 23:00:00,92.339,92.242,92.26799999999999,479
92.3545,2009-09-09 00:00:00,92.42399999999999,92.296,92.3265,927
92.4135,2009-09-09 01:00:00,92.428,92.32600000000001,92.3565,1126
92.3545,2009-09-09 02:00:00,92.412,92.33,92.4115,569
92.3015,2009-09-09 03:00:00,92.352,92.264,92.3525,625
92.3185,2009-09-09 04:00:00,92.32600000000001,92.266,92.2995,334
92.3215,2009-09-09 05:00:00,92.354,92.292,92.3165,371
92.4945,2009-09-09 06:00:00,92.512,92.32,92.3235,1194
92.5075,2009-09-09 07:00:00,92.596,92.45,92.4975,1324
92.4995,2009-09-09 08:00:00,92.536,92.446,92.5045,926
92.5505,2009-09-09 09:00:00,92.564,92.426,92.5015,967
92.5235,2009-09-09 10:00:00,92.58,92.448,92.5475,765
92.3595,2009-09-09 11:00:00,92.556,92.338,92.5265,974
92.2865,2009-09-09 12:00:00,92.426,92.236,92.3615,1401
91.98,2009-09-09 13:00:00,92.30799999999999,91.936,92.2905,2179
91.75299999999999,2009-09-09 14:00:00,91.984,91.615,91.978,3090
91.866,2009-09-09 15:00:00,91.92200000000001,91.743,91.755,1010
91.943,2009-09-09 16:00:00,91.971,91.863,91.869,549
92.087,2009-09-09 17:00:00,92.11399999999999,91.853,91.946,1023
92.164,2009-09-09 18:00:00,92.256,92.08,92.084,1476
92.089,2009-09-09 19:00:00,92.169,92.03200000000001,92.166,739
92.03399999999999,2009-09-09 20:00:00,92.089,92.01799999999999,92.085,483
91.965,2009-09-09 21:00:00,92.102,91.926,92.038,628
92.07700000000001,2009-09-09 22:00:00,92.095,91.925,91.963,806
92.1495,2009-09-09 23:00:00,92.15,92.068,92.074,605
92.1915,2009-09-10 00:00:00,92.206,92.10799999999999,92.1465,618
92.1385,2009-09-10 01:00:00,92.242,92.132,92.1945,812
92.0735,2009-09-10 02:00:00,92.156,92.03,92.1405,567
91.9915,2009-09-10 03:00:00,92.11200000000001,91.956,92.0715,473
91.9345,2009-09-10 04:00:00,92.03200000000001,91.89200000000001,91.9935,786
92.1375,2009-09-10 05:00:00,92.13799999999999,91.93799999999999,91.9375,777
92.1035,2009-09-10 06:00:00,92.182,92.06200000000001,92.1395,944
92.1575,2009-09-10 07:00:00,92.198,92.066,92.1015,1063
92.1485,2009-09-10 08:00:00,92.17,92.05799999999999,92.1555,1120
92.1555,2009-09-10 09:00:00,92.26,92.13600000000001,92.1465,1163
92.1595,2009-09-10 10:00:00,92.23,92.12200000000001,92.1575,778
92.0285,2009-09-10 11:00:00,92.19200000000001,92.008,92.1575,1186
91.8485,2009-09-10 12:00:00,92.074,91.70200000000001,92.0255,2235
91.87200000000001,2009-09-10 13:00:00,92.06,91.432,91.8465,3590
91.76299999999999,2009-09-10 14:00:00,91.947,91.744,91.869,1595
91.87899999999999,2009-09-10 15:00:00,91.92,91.76,91.765,1051
91.82600000000001,2009-09-10 16:00:00,91.919,91.811,91.87700000000001,555
91.727,2009-09-10 17:00:00,91.87299999999999,91.635,91.82799999999999,1581
91.723,2009-09-10 18:00:00,91.788,91.62100000000001,91.73,816
91.699,2009-09-10 19:00:00,91.815,91.684,91.721,724
91.73899999999999,2009-09-10 20:00:00,91.788,91.693,91.697,531
91.76299999999999,2009-09-10 21:00:00,91.803,91.70200000000001,91.79700000000001,342
91.76,2009-09-10 22:00:00,91.78,91.72,91.76,321
91.7145,2009-09-10 23:00:00,91.762,91.619,91.762,549
91.6455,2009-09-11 00:00:00,91.71799999999999,91.542,91.7165,1115
91.4945,2009-09-11 01:00:00,91.662,91.48200000000001,91.6475,983
91.3695,2009-09-11 02:00:00,91.52799999999999,91.338,91.4925,1579
91.3515,2009-09-11 03:00:00,91.428,91.346,91.3715,512
91.3025,2009-09-11 04:00:00,91.368,91.21,91.3535,1005
91.1705,2009-09-11 05:00:00,91.322,91.13600000000001,91.3055,1157
91.1985,2009-09-11 06:00:00,91.238,90.99799999999999,91.1685,2214
90.9345,2009-09-11 07:00:00,91.2,90.684,91.1965,3181
90.90700000000001,2009-09-11 08:00:00,91.094,90.81200000000001,90.9375,1713
90.935,2009-09-11 09:00:00,90.963,90.838,90.905,1020
90.9325,2009-09-11 10:00:00,90.95,90.82700000000001,90.93700000000001,990
90.8565,2009-09-11 11:00:00,90.93,90.818,90.9295,696
90.9285,2009-09-11 12:00:00,90.99600000000001,90.84200000000001,90.8545,1252
90.7965,2009-09-11 13:00:00,90.96799999999999,90.632,90.9265,2029
90.5705,2009-09-11 14:00:00,90.88799999999999,90.54,90.7945,2663
90.3145,2009-09-11 15:00:00,90.64200000000001,90.22,90.5725,2416
90.4815,2009-09-11 16:00:00,90.53200000000001,90.292,90.3115,1236
90.4735,2009-09-11 17:00:00,90.48200000000001,90.376,90.4795,586
90.5795,2009-09-11 18:00:00,90.584,90.45200000000001,90.4715,684
90.656,2009-09-11 19:00:00,90.73200000000001,90.572,90.5755,708
90.71700000000001,2009-09-11 20:00:00,90.73899999999999,90.62799999999999,90.65799999999999,543
90.723,2009-09-11 21:00:00,90.729,90.71700000000001,90.72,5
91.6455,2009-09-11 00:00:00,91.71799999999999,91.542,91.7165,1115
91.4945,2009-09-11 01:00:00,91.662,91.48200000000001,91.6475,983
91.3695,2009-09-11 02:00:00,91.52799999999999,91.338,91.4925,1579
91.3515,2009-09-11 03:00:00,91.428,91.346,91.3715,512
91.3025,2009-09-11 04:00:00,91.368,91.21,91.3535,1005
91.1705,2009-09-11 05:00:00,91.322,91.13600000000001,91.3055,1157
91.1985,2009-09-11 06:00:00,91.238,90.99799999999999,91.1685,2214
90.9345,2009-09-11 07:00:00,91.2,90.684,91.1965,3181
90.90700000000001,2009-09-11 08:00:00,91.094,90.81200000000001,90.9375,1713
90.935,2009-09-11 09:00:00,90.963,90.838,90.905,1020
90.9325,2009-09-11 10:00:00,90.95,90.82700000000001,90.93700000000001,990
90.8565,2009-09-11 11:00:00,90.93,90.818,90.9295,696
90.9285,2009-09-11 12:00:00,90.99600000000001,90.84200000000001,90.8545,1252
90.7965,2009-09-11 13:00:00,90.96799999999999,90.632,90.9265,2029
90.5705,2009-09-11 14:00:00,90.88799999999999,90.54,90.7945,2663
90.3145,2009-09-11 15:00:00,90.64200000000001,90.22,90.5725,2416
90.4815,2009-09-11 16:00:00,90.53200000000001,90.292,90.3115,1236
90.4735,2009-09-11 17:00:00,90.48200000000001,90.376,90.4795,586
90.5795,2009-09-11 18:00:00,90.584,90.45200000000001,90.4715,684
90.656,2009-09-11 19:00:00,90.73200000000001,90.572,90.5755,708
90.71700000000001,2009-09-11 20:00:00,90.73899999999999,90.62799999999999,90.65799999999999,543
90.723,2009-09-11 21:00:00,90.729,90.71700000000001,90.72,5
90.65700000000001,2009-09-13 18:00:00,90.65700000000001,90.65700000000001,90.65700000000001,1
90.36,2009-09-13 19:00:00,90.594,90.34299999999999,90.589,434
90.303,2009-09-13 20:00:00,90.38799999999999,90.21600000000001,90.35700000000001,1044
90.396,2009-09-13 21:00:00,90.45100000000001,90.272,90.29799999999999,579
90.35600000000001,2009-09-13 22:00:00,90.44,90.21799999999999,90.398,1921
90.412,2009-09-13 23:00:00,90.439,90.294,90.354,882
90.6125,2009-09-14 00:00:00,90.65799999999999,90.414,90.414,1708
90.3985,2009-09-14 01:00:00,90.618,90.37799999999999,90.6085,1393
90.4255,2009-09-14 02:00:00,90.46600000000001,90.31,90.4015,1033
90.4235,2009-09-14 03:00:00,90.43799999999999,90.366,90.4235,674
90.4205,2009-09-14 04:00:00,90.516,90.38600000000001,90.4265,742
90.56299999999999,2009-09-14 05:00:00,90.572,90.416,90.4185,464
90.6365,2009-09-14 06:00:00,90.706,90.544,90.561,1079
90.5925,2009-09-14 07:00:00,90.76,90.486,90.6385,1732
90.6845,2009-09-14 08:00:00,90.73200000000001,90.52799999999999,90.5905,1512
90.7955,2009-09-14 09:00:00,90.87200000000001,90.68799999999999,90.6875,1196
90.6925,2009-09-14 10:00:00,90.81200000000001,90.686,90.7985,934
90.9165,2009-09-14 11:00:00,90.97200000000001,90.69,90.6945,1033
91.0565,2009-09-14 12:00:00,91.084,90.796,90.9145,1867
90.7335,2009-09-14 13:00:00,91.134,90.728,91.0585,1907
90.6925,2009-09-14 14:00:00,90.838,90.616,90.7305,1768
90.8515,2009-09-14 15:00:00,90.9,90.64399999999999,90.6895,1125
90.8625,2009-09-14 16:00:00,90.89200000000001,90.792,90.8535,504
90.9695,2009-09-14 17:00:00,91.0,90.824,90.8605,576
90.9425,2009-09-14 18:00:00,91.02,90.834,90.9715,851
90.9225,2009-09-14 19:00:00,91.02,90.87,90.9445,847
90.9345,2009-09-14 20:00:00,90.95200000000001,90.876,90.9255,588
90.8825,2009-09-14 21:00:00,91.014,90.87799999999999,90.9385,465
90.8665,2009-09-14 22:00:00,90.93799999999999,90.86399999999999,90.8845,429
90.8715,2009-09-14 23:00:00,90.906,90.788,90.8645,610
91.0195,2009-09-15 00:00:00,91.07600000000001,90.84200000000001,90.8695,1080
91.0545,2009-09-15 01:00:00,91.09200000000001,90.89399999999999,91.0175,1341
91.1125,2009-09-15 02:00:00,91.21600000000001,91.02600000000001,91.0565,1075
91.0555,2009-09-15 03:00:00,91.164,91.056,91.1155,398
91.0695,2009-09-15 04:00:00,91.132,91.042,91.0535,675
91.1025,2009-09-15 05:00:00,91.154,91.054,91.0715,486
91.1615,2009-09-15 06:00:00,91.162,90.994,91.0995,1079
91.1195,2009-09-15 07:00:00,91.28,91.086,91.1595,1299
91.0855,2009-09-15 08:00:00,91.12200000000001,91.016,91.1215,1059
91.1675,2009-09-15 09:00:00,91.176,91.05,91.0835,851
